Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
08/17/2022,FORD,4D,,BLU,DG35556,IL,10300 S. Doty,(773) 568-8495,2936575
09/02/2022,GMC,LL,,BLK,V523948,IL,701 N. Sacramento,(773) 265-7605,7038466
07/07/2022,HOND,MC,,BLK,,,10300 S. Doty,(773) 568-8495,2934639
09/21/2022,CHEV,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2938039
08/26/2022,BUIC,LD,,RED,CB14375,IL,10300 S. Doty,(773) 568-8495,2936906
08/30/2022,INFI,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2937085
09/08/2022,KIA,4D,,BLK,DG39647,IL,10300 S. Doty,(773) 568-8495,2937495
07/15/2022,DODG,4T,,BLK,L337M3,MS,10300 S. Doty,(773) 568-8495,2934930
08/30/2022,PONT,4D,,GRY,004322A0,IL,10300 S. Doty,(773) 568-8495,2937083
07/27/2022,DODG,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2935437
08/03/2022,KIA,LL,,SIL,ZY40303,IL,10300 S. Doty,(773) 568-8495,2935739
07/19/2022,SAA,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7035710
08/14/2022,TOYT,4D,,SIL,DA64769,IL,701 N. Sacramento,(773) 265-7605,7037266
08/29/2022,TOYT,4D,,SIL,DM85485,IL,701 N. Sacramento,(773) 265-7605,7038231
09/21/2022,TOYT,4D,,WHI,BB78433,IL,10300 S. Doty,(773) 568-8495,2938037
08/21/2022,HOND,4D,,GRY,CJ81762,IL,701 N. Sacramento,(773) 265-7605,7037743
08/14/2022,KIA,LL,,SIL,DB45707,IL,10300 S. Doty,(773) 568-8495,2936450
09/02/2022,KIA,4D,,WHI,BM82134,IL,10300 S. Doty,(773) 568-8495,2937192
09/02/2022,HARL,MC,,MAR,EL3644,IL,701 N. Sacramento,(773) 265-1846,1544172
08/03/2022,CHEV,2D,,,,IL,10300 S. Doty,(773) 568-8495,2935736
09/02/2022,NISS,4D,,WHI,CR63965,IL,701 N. Sacramento,(773) 265-7605,7038463
09/02/2022,AUDI,4D,,GRN,P330793,IL,701 N. Sacramento,(773) 265-1846,1544171
09/25/2022,HYUN,4D,,GRY,CS16079,IL,701 N. Sacramento,(773) 265-7605,7040160
09/21/2022,VOLV,TR,,WHI,P1104464,IL,10300 S. Doty,(773) 785-9752,1723662
09/12/2022,CHRY,4D,,BLK,DN28434,IL,400 E. Lower Wacker,(312) 744-7550,0265579
09/11/2022,MERC,4D,,MAR,CN54701,IL,701 N. Sacramento,(773) 265-7605,7039220
08/21/2022,NISS,4D,,GRY,DL962L,IL,701 N. Sacramento,(773) 265-7605,7037700
08/21/2022,JEEP,LL,,BLU,CD26890,IL,10300 S. Doty,(773) 568-8495,2936654
09/08/2022,CHEV,4D,,RED,BV38536,IL,701 N. Sacramento,(773) 265-7605,7038888
08/07/2022,FORD,LL,,BLK,FDY133,IN,10300 S. Doty,(773) 568-8495,2935893
09/08/2022,TESL,4D,,BLU,25840EL,IL,701 N. Sacramento,(773) 265-7605,7038891
08/26/2022,FORD,LL,,RED,CD74608,IL,10300 S. Doty,(773) 568-8495,2936908
07/25/2022,FORD,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7036087
09/08/2022,BMW,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,7038890
08/14/2022,,PK,,WHI,PRPBH891,ID,10300 S. Doty,(773) 568-8495,2936447
08/26/2022,CHEV,4D,,WHI,DD78283,IL,10300 S. Doty,(773) 568-8495,2936909
09/21/2022,DODG,LL,,WHI,DH33498,IL,10300 S. Doty,(773) 568-8495,2938032
07/11/2022,HYUN,4D,,PLE,CS31362,IL,10300 S. Doty,(773) 568-8495,2934754
08/07/2022,HYUN,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2935895
07/15/2022,CHEV,4T,,WHI,BU62231,IL,701 N. Sacramento,(773) 265-7605,7035431
07/27/2022,INFI,LL,,SIL,CE44828,IL,10300 S. Doty,(773) 568-8495,2935438
09/27/2022,PONT,4D,,WHI,CS96806,IL,10300 S. Doty,(773) 568-8495,2938331
08/28/2022,CADI,4D,,BLK,4241634,IL,701 N. Sacramento,(773) 265-7605,7038181
09/17/2022,CADI,LL,,SIL,,,10300 S. Doty,(773) 568-8495,2937844
07/27/2022,KIA,4D,,BLK,CVM1506,AZ,10300 S. Doty,(773) 568-8495,2935439
09/02/2022,CHEV,4D,,GRY,CD55457,IL,701 N. Sacramento,(773) 265-7605,7038469
07/11/2022,FORD,LL,,BLU,FP184891,IL,10300 S. Doty,(773) 568-8495,2934753
09/28/2022,FORD,4D,,WHI,995EKD,IN,10300 S. Doty,(773) 568-8495,2938330
07/25/2022,CHRY,4D,,SIL,231TXT,IN,10300 S. Doty,(773) 568-8495,2935329
07/07/2022,TOYT,4D,,BLK,DF28161,IL,10300 S. Doty,(773) 568-8495,2934643
09/28/2022,HOND,VN,,SIL,CT58533,IL,701 N. Sacramento,(773) 265-7605,7040289
09/08/2022,CHRY,VN,,MAR,AZ73064,IL,701 N. Sacramento,(773) 265-7605,7038889
09/25/2022,JEEP,LL,,GRY,GVS886,IL,701 N. Sacramento,(773) 265-7605,7040129
08/03/2022,MAZD,LL,TK,MAR,CD74262,IL,701 N. Sacramento,(773) 265-7605,7036534
07/11/2022,HYUN,LL,,GRY,B804486,IL,10300 S. Doty,(773) 568-8495,2934758
09/02/2022,TOYT,4D,,TRQ,PLB959,IN,701 N. Sacramento,(773) 265-7605,7038468
09/27/2022,DODG,4D,,BLK,ACQ430,IN,701 N. Sacramento,(773) 265-7605,7040242
08/26/2022,LEXS,LD,,WHI,DH59762,IL,10300 S. Doty,(773) 568-8495,2936912
08/14/2022,PONT,2D,,SIL,DC32116,IL,10300 S. Doty,(773) 568-8495,2936449
09/02/2022,KIA,LL,,WHI,CB98734,IL,701 N. Sacramento,(773) 265-7605,7038473
08/28/2022,LEXS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7038171
07/07/2022,SAA,4D,,BLU,DJ35592,IL,10300 S. Doty,(773) 568-8495,2934644
07/03/2022,MERZ,LL,,SIL,P923547,IL,701 N. Sacramento,(773) 265-7605,7034801
07/27/2022,HYUN,4D,,WHI,47010CV,IL,10300 S. Doty,(773) 568-8495,2935443
07/25/2022,HOND,2D,,BLK,RH7M4D,MO,701 N. Sacramento,(773) 265-7605,7036088
07/25/2022,CHEV,VN,,RED,AX97447,IL,10300 S. Doty,(773) 568-8495,2035330
09/08/2022,INFI,4D,,SIL,AX49471,IL,10300 S. Doty,(773) 568-8495,2937496
09/25/2022,HYUN,4D,,LBL,CT29583,IL,701 N. Sacramento,(773) 265-7605,7040130
09/28/2022,NISS,4D,,WHI,CT77517,IL,10300 S. Doty,(773) 568-8495,2938332
09/28/2022,JEEP,4D,,RED,BP87370,IL,701 N. Sacramento,(773) 265-7605,7040297
09/28/2022,KIA,4D,,BLK,BD93786,IL,701 N. Sacramento,(773) 265-7605,7040298
08/28/2022,JEEP,LL,TK,GRY,V863018,IL,701 N. Sacramento,(773) 265-7605,7038163
08/03/2022,FORD,LL,,BLK,DC47838,IL,10300 S. Doty,(773) 568-8495,2935748
09/23/2022,INFI,4D,,BLU,BY17181,IL,701 N. Sacramento,(773) 265-1846,1544257
09/08/2022,FORD,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7038893
09/08/2022,JEEP,LL,,RED,DD42658,IL,10300 S. Doty,(773) 568-8495,2937498
08/07/2022,FORD,4D,,WHI,2348957B,IL,10300 S. Doty,(773) 568-8495,2935898
08/07/2022,HYUN,4D,,BLK,DJ40486,IL,10300 S. Doty,(773) 568-8495,2935896
07/27/2022,FORD,4D,,GRN,DM37393,IL,10300 S. Doty,(773) 568-8495,2935445
08/07/2022,HOND,VN,,SIL,,IL,10300 S. Doty,(773) 568-8495,2935897
08/14/2022,HOND,LL,,GRY,DD13012,IL,701 N. Sacramento,(773) 265-7605,7037268
08/03/2022,CADI,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2935749
09/19/2022,KIA,SW,,SIL,DJ56716,IL,701 N. Sacramento,(773) 265-7605,7039773
08/22/2022,NISS,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2936693
08/14/2022,NISS,LL,,WHI,BG49582,IL,701 N. Sacramento,(773) 265-7605,7037275
08/14/2022,HOND,VN,,SIL,DN44751,IL,701 N. Sacramento,(773) 265-7605,7037279
08/22/2022,CHEV,PK,,RED,FP160550,IL,701 N. Sacramento,(773) 265-7605,7037801
08/29/2022,KIA,LL,,BLU,CN96856,IL,701 N. Sacramento,(773) 265-7605,7038233
08/21/2022,FORD,LL,,BLK,BA42433,IL,400 E. Lower Wacker,(312) 744-7550,0264289
08/21/2022,ACUR,4D,,SIL,DM33965.,IL,701 N. Sacramento,(773) 265-7605,7037690
08/21/2022,CHEV,,,RED,CC63000,IL,400 E. Lower Wacker,(312) 744-7550,0264290
08/29/2022,ACUR,LL,,BLK,BT33209,IL,701 N. Sacramento,(773) 265-7605,7038235
08/14/2022,FORD,4D,,BLU,FP111279,IL,701 N. Sacramento,(773) 265-7605,7037277
09/13/2022,BMW,4D,,BLK,CM87670,IL,701 N. Sacramento,(773) 265-1846,1544208
09/21/2022,CHRY,4D,,WHI,182AB989,IL,10300 S. Doty,(773) 568-8495,2938038
09/13/2022,CHEV,4D,,BLK,CD11770,IL,701 N. Sacramento,(773) 265-7605,7039280
09/13/2022,JEEP,LL,,BLK,E706041,IL,701 N. Sacramento,(773) 265-7605,7039282
08/29/2022,INFI,4D,,SIL,TVK778,IN,10300 S. Doty,(773) 568-8495,2937067
08/14/2022,OTTE,PK,,GRN,,IL,10300 S. Doty,(773) 568-8495,2936427
09/07/2022,CHRY,VN,,SIL,CQ63446,IL,10300 S. Doty,(773) 568-8495,2937432
08/29/2022,FORD,LL,,GRY,801208,IL,10300 S. Doty,(773) 568-8495,2937069
08/14/2022,TOYT,4D,,DBL,CD89455,IL,701 N. Sacramento,(773) 265-7605,7037284
08/29/2022,HYUN,4D,,WHI,DH44391,IL,10300 S. Doty,(773) 568-8495,2937070
08/14/2022,CHEV,LL,,BLK,DE85362,IL,701 N. Sacramento,(773) 265-7605,7037283
08/14/2022,TOYT,4D,,SIL,DM17538,IL,701 N. Sacramento,(773) 265-7605,7037282
08/14/2022,JEEP,LL,TK,WHI,DB56777,IL,10300 S. Doty,(773) 568-8495,2936429
08/30/2022,FORD,PK,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7038236
09/04/2022,MERZ,4D,,BLK,FAD292,IN,10300 S. Doty,(773) 568-8495,2937292
09/02/2022,HYUN,4D,,BRO,BL47388,IL,10300 S. Doty,(773) 568-8495,2937193
08/03/2022,CHEV,VN,TK,BLU,BQ75894,IL,10300 S. Doty,(773) 568-8495,2935752
08/03/2022,NISS,4D,,SIL,BW18854,IL,10300 S. Doty,(773) 568-8495,2935753
09/04/2022,AUDI,4D,,BLU,CU64749,IL,701 N. Sacramento,(773) 265-7605,7038711
08/14/2022,DODG,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2936454
09/25/2022,FORD,LL,,RED,DD24904,IL,10300 S. Doty,(773) 568-8495,2938237
09/19/2022,BMW,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2937922
09/02/2022,BUIC,LL,,GRY,CD38492,IL,701 N. Sacramento,(773) 265-7605,7038481
08/26/2022,INFI,4D,,RED,5A855FF,IL,701 N. Sacramento,(773) 265-1846,1544125
07/19/2022,FORD,4D,,BLU,DC39562,IL,10300 S. Doty,(773) 568-8495,2935115
09/28/2022,HOND,4D,,SIL,BX95816,IL,400 E. Lower Wacker,(312) 744-7550,0266533
09/02/2022,CHRY,VN,,GRY,CE64768,IL,701 N. Sacramento,(773) 265-1846,1544174
08/21/2022,MAZD,4D,,,BB12493,IL,701 N. Sacramento,(773) 265-7605,7035815
08/14/2022,MERC,4D,,WHI,Y704571,IL,10300 S. Doty,(773) 568-8495,2936455
08/07/2022,HYUN,4D,,RED,4019986,IL,10300 S. Doty,(773) 568-8495,2935901
09/02/2022,BMW,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7038480
07/30/2022,FORD,LL,,RED,G644531,IL,10300 S. Doty,(773) 568-8495,2935585
09/27/2022,CHEV,4D,,BLU,255AB901,IL,701 N. Sacramento,(773) 265-7605,7040285
09/02/2022,KIA,4D,,WHI,FP146265,IL,10300 S. Doty,(773) 568-8495,2937195
09/02/2022,DODG,LL,,WHI,CE27887,IL,10300 S. Doty,(773) 785-9752,1723607
09/28/2022,NISS,4D,,GRY,CR95565,IL,10300 S. Doty,(773) 568-8495,2938335
07/26/2022,BUIC,4D,,BGE,BE27748,IL,400 E. Lower Wacker,(312) 744-7550,0262521
07/15/2022,HOND,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,7035434
09/09/2022,HYUN,4D,,BLK,BL80810,IL,400 E. Lower Wacker,(312) 744-7550,0265357
07/03/2022,CADI,4D,,LBL,CU51865,IL,10300 S. Doty,(773) 568-8495,2934513
07/26/2022,TOYT,4D,,TRQ,DC47264,IL,10300 S. Doty,(773) 568-8495,2935337
07/18/2022,NISS,4D,,GRY,P271131,IL,701 N. Sacramento,(773) 265-7605,7035656
09/02/2022,NISS,4D,,WHI,R235803,IL,701 N. Sacramento,(773) 265-7605,7038478
08/18/2022,ALFA,4D,,MAR,CJ36124,IL,701 N. Sacramento,(773) 265-7605,7037454
08/26/2022,PONT,4D,,BLU,CT20766,IL,10300 S. Doty,(773) 568-8495,2936920
08/14/2022,JEEP,LL,TK,SIL,DL17595,IL,10300 S. Doty,(773) 568-8495,2936457
07/30/2022,CHRY,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2935587
07/15/2022,PONT,4D,,GRN,DL4511D,IL,10300 S. Doty,(773) 568-8495,2934941
07/30/2022,VOLK,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2935590
08/26/2022,CHEV,PK,TK,WHI,8A433FF,IL,701 N. Sacramento,(773) 265-7605,7037975
07/03/2022,GMC,PK,TK,RED,3244119B,IL,701 N. Sacramento,(773) 265-7605,7034807
09/28/2022,KIA,LL,,BLK,BU47001,IL,10300 S. Doty,(773) 568-8495,2938333
08/26/2022,FORD,LD,,TRQ,,IL,10300 S. Doty,(773) 568-8495,2936918
08/19/2022,AUDI,LL,,BRZ,PPL6,IL,701 N. Sacramento,(773) 265-7605,6897150
07/23/2022,HOND,LL,,GRY,DB76135,IL,10300 S. Doty,(773) 568-8495,2935243
08/26/2022,KIA,4D,,BLU,CE70288,IL,10300 S. Doty,(773) 568-8495,2936919
09/28/2022,HYUN,4D,,BLK,DC81795,IL,10300 S. Doty,(773) 568-8495,2938336
07/30/2022,KIA,LL,,BRO,109AB163,IL,10300 S. Doty,(773) 568-8495,2935586
08/30/2022,HYUN,4D,,BLU,JHX2128,OH,400 E. Lower Wacker,(312) 744-7550,0264786
09/28/2022,NISS,SW,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7040292
07/15/2022,CHRY,VN,,SIL,DE76932,IL,701 N. Sacramento,(773) 265-7605,7035435
08/19/2022,AUDI,4D,,RED,PPL656,IL,701 N. Sacramento,(773) 265-7605,7037540
07/03/2022,MASE,LL,,DBL,BM64535,IL,701 N. Sacramento,(773) 265-7605,7034716
08/19/2022,JEEP,LL,,BLU,V553123,IL,701 N. Sacramento,(773) 265-7605,7037550
08/07/2022,GMC,LL,,DGR,,,10300 S. Doty,(773) 568-8495,2935904
09/02/2022,HYUN,4D,,WHI,CT48443,IL,701 N. Sacramento,(773) 265-7605,7038483
08/22/2022,CADI,4D,,BGE,39667PV,IL,10300 S. Doty,(773) 785-9752,1723570
08/21/2022,CHEV,4D,IMP,SIL,DF40177,IL,10300 S. Doty,(773) 568-8495,2936661
09/04/2022,FORD,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2937294
08/21/2022,CADI,4D,,BLK,,,701 N. Sacramento,(773) 265-7605,7037746
09/12/2022,APOL,MC,,BLK,,,701 N. Sacramento,(773) 265-7605,7039230
08/22/2022,OTTE,CE,,YEL,,IL,701 N. Sacramento,(773) 265-7605,7037806
09/12/2022,TOYT,4D,,BLK,5380267,IL,10300 S. Doty,(773) 568-8495,2937635
08/30/2022,,,,,DP40171,IL,10300 S. Doty,(773) 568-8495,2937084
08/21/2022,FORD,4D,,,CD14437,IL,400 E. Lower Wacker,(312) 744-7550,0264293
08/21/2022,NISS,LL,,SIL,0816AS,FL,400 E. Lower Wacker,(312) 744-7550,0264295
08/19/2022,CHRY,4D,,SIL,SWAGON9,IL,701 N. Sacramento,(773) 265-7605,7037551
09/28/2022,HYUN,4D,,GRY,Q676703,IL,701 N. Sacramento,(773) 265-7605,7040296
08/29/2022,KIA,4D,,RED,CG65902,IL,10300 S. Doty,(773) 568-8495,2937066
08/21/2022,INFI,4D,,TAN,DN17654,IL,701 N. Sacramento,(773) 265-7605,7037749
08/30/2022,TOYT,4D,,BLK,AE15210,IL,701 N. Sacramento,(773) 265-7605,7038237
08/21/2022,FORD,4D,,MAR,196-B,IL,701 N. Sacramento,(773) 265-7605,7037747
08/21/2022,DODG,4D,,WHI,DL47670,IL,10300 S. Doty,(773) 568-8495,2936663
08/21/2022,HOND,4D,,BLK,ELL0372,MI,400 E. Lower Wacker,(312) 744-7550,0264302
08/19/2022,CHEV,LL,TK,WHI,,,701 N. Sacramento,(773) 265-7605,7037559
07/03/2022,KIA,4T,,BLK,CY50099,IL,701 N. Sacramento,(773) 265-7605,7034720
08/22/2022,HYUN,4D,,BLK,K946597,IL,701 N. Sacramento,(773) 265-7605,7037810
09/28/2022,HYUN,LL,,GRY,DB78008,IL,701 N. Sacramento,(773) 265-7605,7040301
08/21/2022,HOND,4D,,GRY,DF60968,IL,701 N. Sacramento,(773) 265-7605,7037751
08/30/2022,HYUN,LL,,MAR,CS24411,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,416360
08/30/2022,HYUN,LL,,MAR,CS24411,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,416360
08/21/2022,CHEV,4D,,WHI,3227517-,IL,10300 S. Doty,(773) 568-8495,2936664
08/30/2022,MAZD,LL,,BLU,BU85328,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,416361
09/08/2022,DODG,4T,,WHI,2646778B,IL,10300 S. Doty,(773) 568-8495,2937441
07/08/2022,MITS,4D,,RED,DG23670,IL,701 N. Sacramento,(773) 265-7605,7035015
07/30/2022,TOYT,4D,,SIL,2151AS,FL,400 E. Lower Wacker,(312) 744-7550,0262828
07/12/2022,JEEP,LL,,GRY,DM33661,IL,701 N. Sacramento,(773) 265-7605,7035292
07/28/2022,GMC,PK,,WHI,,IL,10300 S. Doty,(773) 568-8495,2935454
08/26/2022,HYUN,4D,,RED,Z560646,IL,10300 S. Doty,(773) 568-8495,2936924
08/26/2022,HYUN,4D,,WHI,L2DBY,FL,10300 S. Doty,(773) 568-8495,2936922
09/13/2022,PONT,4D,,RED,,IL,701 N. Sacramento,(773) 265-1846,1544209
08/26/2022,FORD,LL,,GRY,CN68532,IL,701 N. Sacramento,(773) 265-7605,7037977
09/26/2022,,MC,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7040169
09/17/2022,FORD,4D,,MAR,CW32670,IL,701 N. Sacramento,(773) 265-7605,7039633
08/18/2022,CHEV,4D,,GRY,DK36967,IL,701 N. Sacramento,(773) 265-7605,7037456
07/08/2022,BUIC,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2934651
08/11/2022,BMW,2D,,GRY,DG33628,IL,10300 S. Doty,(773) 568-8495,2936080
07/08/2022,NISS,4D,,BLU,FP128219,IL,400 E. Lower Wacker,(312) 744-7550,0261383
07/28/2022,HOND,4D,,GRY,CF73319,IL,400 E. Lower Wacker,(312) 744-7550,0262635
08/30/2022,BUIC,VN,,GRY,BU79520,IL,10300 S. Doty,(773) 785-9752,1723596
07/19/2022,DODG,4D,,GRY,FL369AAN,IN,400 E. Lower Wacker,(312) 744-7550,0262094
09/25/2022,TOYT,4D,,GRN,CA98229,IL,10300 S. Doty,(773) 568-8495,2938263
09/02/2022,ALFA,4D,,BLK,S171,IL,400 E. Lower Wacker,(312) 744-7550,0260
07/30/2022,TOYT,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7036317
08/18/2022,JEEP,LL,TK,GRY,Q710326,IL,10300 S. Doty,(773) 568-8495,2936579
09/20/2022,HYUN,LL,,RED,CQ91901,IL,701 N. Sacramento,(773) 265-7605,7039816
09/08/2022,DODG,VN,,LBL,BR73709,IL,10300 S. Doty,(773) 568-8495,2937499
07/26/2022,DODG,2T,,WHI,3322751B,IL,400 E. Lower Wacker,(312) 744-7550,0262528
08/30/2022,FORD,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,7038248
07/03/2022,JAGU,LL,,WHI,BF72572,IL,10300 S. Doty,(773) 568-8495,2934518
08/08/2022,ZCZY,MC,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1544035
07/28/2022,HOND,4D,,WHI,DL34376,IL,701 N. Sacramento,(773) 265-7605,7036174
08/21/2022,HOND,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7037769
08/14/2022,NISS,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2936460
09/02/2022,GMC,PK,,WHI,3304864,IN,10300 S. Doty,(773) 568-8495,2937197
07/23/2022,NISS,2D,,GRY,DC75632,IL,10300 S. Doty,(773) 568-8495,2935245
08/26/2022,KIA,LL,,GRY,DN23355,IL,10300 S. Doty,(773) 568-8495,2936927
07/23/2022,DODG,LL,,BLK,L011160,IN,10300 S. Doty,(773) 568-8495,2935244
08/15/2022,FORD,VN,,WHI,318558F,TX,701 N. Sacramento,(773) 265-7605,7037314
09/09/2022,NISS,4T,,BLK,CZ34845,IL,10300 S. Doty,(773) 568-8495,2937500
08/26/2022,,MS,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7037983
08/11/2022,CHEV,4D,,RED,,IL,10300 S. Doty,(773) 785-9752,1723531
09/25/2022,FORD,LL,,BLU,GWLF48,FL,701 N. Sacramento,(773) 265-7605,7040163
09/28/2022,LEXS,4D,,SIL,CQ81801,IL,10300 S. Doty,(773) 568-8495,2938343
09/13/2022,MAZD,4D,,GRY,VMK251,IN,400 E. Lower Wacker,(312) 744-7550,0265665
09/02/2022,KIA,4D,,WHI,R265146,IL,10300 S. Doty,(773) 568-8495,2937198
09/28/2022,KIA,4D,,GRN,Q524172,IL,10300 S. Doty,(773) 568-8495,2938344
09/02/2022,KIA,4D,,WHI,CR46982,IL,10300 S. Doty,(773) 568-8495,2937199
09/17/2022,FORD,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7039631
09/28/2022,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2938342
09/05/2022,CHEV,4D,,BLK,CG31098,IL,701 N. Sacramento,(773) 265-7605,7038717
08/26/2022,,SE,,WHI,,IL,10300 S. Doty,(773) 568-8495,2936925
08/30/2022,FIAT,4D,,WHI,DF52968,IL,400 E. Lower Wacker,(312) 744-7550,0264797
09/08/2022,CHRY,2D,,SIL,CD57071,IL,701 N. Sacramento,(773) 265-7605,7038896
08/04/2022,TOYT,4D,,GRY,BV31931,IL,400 E. Lower Wacker,(312) 744-7550,0263128
09/28/2022,CHEV,4D,,GRY,CS54628,IL,10300 S. Doty,(773) 568-8495,2938345
09/19/2022,KIA,4D,,WHI,AY60400,IL,10300 S. Doty,(773) 568-8495,2937924
08/22/2022,GMC,PK,,GRY,3068397B,IL,701 N. Sacramento,(773) 265-7605,7037812
09/08/2022,TOYT,4T,,BLK,EHT3516,MI,701 N. Sacramento,(773) 265-7605,7038894
08/14/2022,CHEV,LL,,LBL,CD44890,IL,10300 S. Doty,(773) 568-8495,2936461
